DateTime,Entries,UniqueIPs
1539802092,41205,41477
1539803077,41208,41480
1539804010,41208,41480
1539804984,41204,41476
1539805939,41214,41487
1539807418,41204,41477
1539808365,41201,41475
1539809542,41203,41477
1539810515,41204,41478
1539811470,41209,41483
1539812429,41208,41483
1539813378,41207,41483
1539814350,41204,41480
1539815299,41207,41483
1539816262,41209,41486
1539817217,41211,41488
1539818189,41215,41494
1539819141,41224,41503
1539820101,41230,41509
1539821057,41212,41491
1539822019,41197,41476
1539822972,41225,41506
1539823979,41211,41492
1539824894,41237,41518
1539825854,41253,41534
1539826814,41262,41543
1539827796,41235,41514
1539829486,41249,41529
1539830409,41256,41537
1539831371,41262,41543
1539832359,41259,41540
1539833290,41262,41543
1539834256,41257,41538
1539835232,41245,41526
1539836184,41242,41523
1539837140,41229,41510
1539838095,41216,41498
1539839055,41217,41499
1539840016,41229,41511
1539841242,41226,41508
1539842168,41239,41521
1539843148,41222,41504
1539844090,41239,41521
1539845076,41241,41523
1539846020,41244,41526
1539846992,41236,41518
1539847940,41234,41516
1539848894,41245,41527
1539849878,41235,41517
1539850815,41257,41539
1539851780,41265,41549
1539852752,41267,41552
1539853701,41266,41551
1539854653,41286,41571
1539855620,41261,41545
1539856581,41276,41560
1539857543,41276,41560
1539858494,41290,41574
1539859473,41303,41587
1539860424,41309,41593
1539861387,41292,41576
1539862341,41301,41585
1539863294,41297,41581
1539864290,41290,41573
1539865230,41293,41576
1539866186,41305,41589
1539867144,41308,41592
1539868100,41307,41591
1539869056,41289,41573
1539870017,41273,41556
1539870985,41264,41546
1539871946,41253,41536
1539872895,41254,41536
1539873856,41242,41523
1539874849,41247,41528
1539875783,41235,41516
1539876839,41245,41526
1539877946,41240,41521
1539879169,41250,41532
1539880087,41249,41531
1539881074,41247,41529
1539882039,41240,41522
1539883227,41239,41521
1539884185,41244,41526
1539885129,41244,41526
1539886096,41234,41516
1539887055,41234,41515
1539888012,41236,41518
1539888973,41239,41521
1539889941,41241,41523
1539890888,41244,41526
1539891878,41258,41540
1539892844,41255,41537
1539893777,41247,41529
1539894738,41248,41531
1539895710,41244,41526
1539896658,41244,41526
1539897613,41233,41515
1539898589,41234,41517
1539899531,41236,41518
1539900507,41233,41515
1539901452,41230,41512
1539902415,41221,41503
1539903374,41228,41510
1539904345,41227,41509
1539906053,41224,41505
1539907222,41219,41500
1539908186,41207,41487
1539909137,41214,41494
1539910116,41206,41485
1539911077,41200,41479
1539912011,41197,41476
1539912981,41209,41488
1539913950,41204,41483
1539914911,41197,41475
1539915858,41199,41478
1539916817,41205,41483
1539917813,41197,41475
1539918735,41197,41475
1539919693,41189,41467
1539920671,41196,41474
1539921687,41205,41483
1539922599,41202,41482
1539923540,41206,41485
1539924494,41197,41476
1539925466,41201,41480
1539926412,41188,41467
1539927390,41212,41491
1539928330,41208,41487
1539929300,41231,41511
1539930257,41240,41521
1539931216,41243,41524
1539932174,41233,41514
1539933141,41240,41521
1539934107,41249,41531
1539935054,41259,41541
1539936023,41275,41557
1539936989,41271,41553
1539937940,41287,41569
1539938897,41276,41558
1539939866,41264,41545
1539940943,41270,41551
1539942029,41282,41563
1539943239,41254,41535
1539944182,41272,41553
1539945140,41269,41550
1539946096,41282,41563
1539947083,41278,41559
1539948258,41284,41564
1539949474,41267,41547
1539950465,41258,41538
1539951386,41263,41543
1539952354,41256,41536
1539953293,41260,41540
1539954268,41257,41537
1539955208,41274,41554
1539956183,41261,41542
1539957153,41263,41546
1539958100,41276,41559
1539959054,41275,41558
1539960011,41287,41569
1539960990,41271,41554
1539961938,41289,41572
1539962888,41287,41570
1539963999,41289,41571
1539965117,41278,41561
1539966271,41280,41563
1539967210,41280,41563
1539968168,41274,41557
1539969154,41267,41550
1539970092,41270,41553
1539971052,41271,41555
1539972010,41272,41557
1539972977,41274,41559
1539973938,41276,41561
1539974904,41283,41569
1539975867,41281,41567
1539976817,41276,41562
1539977778,41277,41564
1539978731,41272,41559
1539979710,41275,41563
1539980673,41279,41567
1539981616,41285,41573
1539982574,41298,41587
1539983543,41291,41580
1539984501,41293,41582
1539985457,41284,41573
1539986425,41285,41575
1539987381,41299,41589
1539988338,41294,41584
1539989291,41284,41575
1539990276,41286,41577
1539991208,41294,41586
1539992170,41304,41596
1539993155,41301,41593
1539994094,41317,41608
1539995052,41336,41627
1539996016,41342,41633
1539996978,41356,41646
1539997944,41360,41650
1539998891,41386,41676
1539999870,41389,41679
1540000816,41399,41689
1540001774,41403,41692
1540002756,41406,41695
1540003699,41402,41691
1540004661,41396,41685
1540005612,41405,41694
1540006591,41411,41701
1540007530,41415,41705
1540008496,41407,41697
1540009469,41409,41699
1540010409,41396,41687
1540011368,41403,41694
1540012337,41405,41696
1540013288,41401,41692
1540014269,41397,41690
1540015218,41381,41674
1540016186,41381,41674
1540017163,41362,41655
1540018090,41360,41653
1540019078,41362,41655
1540020012,41352,41646
1540020973,41359,41653
1540021931,41355,41649
1540022898,41354,41648
1540023885,41358,41652
1540024838,41357,41651
1540025787,41351,41645
1540026763,41340,41634
1540027693,41353,41648
1540028657,41345,41640
1540029617,41357,41652
1540030592,41348,41643
1540031546,41348,41644
1540032495,41359,41655
1540033463,41355,41651
1540034415,41367,41663
1540035388,41354,41650
1540036339,41365,41662
1540037294,41365,41662
1540038261,41370,41668
1540039210,41372,41671
1540040187,41363,41661
1540041161,41367,41665
1540042096,41366,41664
1540043055,41381,41679
1540044038,41355,41653
1540044991,41366,41664
1540045946,41379,41677
1540046893,41385,41683
1540047871,41379,41678
1540048820,41371,41670
1540049793,41379,41678
1540050739,41396,41695
1540051749,41372,41671
1540052656,41389,41688
1540053623,41381,41679
1540054576,41397,41695
1540055545,41394,41692
1540056490,41405,41704
1540057467,41403,41701
1540058433,41413,41711
1540059385,41409,41707
1540060341,41414,41713
1540061300,41402,41701
1540062259,41419,41719
1540063216,41415,41715
1540064171,41415,41715
1540065163,41403,41703
1540066094,41411,41711
1540067074,41398,41698
1540068014,41407,41707
1540068982,41393,41693
1540069941,41404,41704
1540070896,41395,41696
1540071854,41411,41712
1540072847,41404,41705
1540073783,41419,41720
1540074742,41381,41681
1540075763,41372,41673
1540076676,41370,41669
1540077614,41380,41679
1540078587,41377,41676
1540079531,41354,41653
1540080515,41295,41593
1540081476,41276,41573
1540082441,41284,41581
1540083373,41303,41600
1540084345,41279,41576
1540085289,41289,41586
1540086261,41262,41559
1540087232,41281,41578
1540088193,41281,41578
1540089150,41280,41577
1540090098,41273,41570
1540091060,41276,41573
1540092031,41275,41573
1540092983,41281,41581
1540093944,41276,41577
1540094896,41276,41578
1540095863,41276,41577
1540096813,41270,41571
1540097793,41268,41569
1540098762,41266,41567
1540099697,41264,41564
1540100653,41254,41554
1540101642,41255,41554
1540102590,41256,41555
1540103549,41250,41549
1540104495,41256,41555
1540105724,41254,41553
1540106896,41248,41548
1540107858,41244,41544
1540108823,41239,41540
1540109791,41222,41522
1540110748,41231,41531
1540111696,41232,41532
1540112780,41241,41541
1540113857,41238,41537
1540114814,41216,41514
1540115793,41206,41503
1540116735,41220,41517
1540117693,41216,41512
1540118655,41224,41521
1540119627,41220,41517
1540120594,41205,41503
1540121546,41205,41503
1540122495,41222,41520
1540123480,41224,41523
1540124410,41229,41528
1540125374,41235,41534
1540126340,41234,41533
1540127819,41238,41535
1540128732,41243,41541
1540129696,41233,41530
1540130665,41237,41534
1540131624,41237,41534
1540132590,41240,41537
1540133537,41242,41539
1540134498,41240,41537
1540135482,41240,41537
1540136411,41226,41523
1540137374,41224,41522
1540138469,41227,41525
1540139804,41216,41514
1540140734,41206,41504
1540141714,41198,41497
1540142664,41186,41485
1540143619,41191,41490
1540144577,41193,41493
1540145552,41189,41489
1540146492,41182,41482
1540147460,41180,41480
1540148441,41178,41478
1540149384,41172,41472
1540150338,41165,41465
1540151298,41153,41453
1540152262,41144,41444
1540153212,41138,41438
1540154189,41145,41445
1540155137,41149,41449
1540156104,41140,41440
1540157056,41137,41437
1540158015,41134,41434
1540158994,41138,41438
1540159934,41131,41431
1540160892,41126,41426
1540161856,41119,41419
1540162835,41108,41408
1540163789,41091,41391
1540164742,41095,41395
1540165712,41059,41359
1540166659,41039,41339
1540167615,41024,41324
1540168584,41017,41317
1540169555,40985,41284
1540170519,40958,41257
1540171452,40918,41217
1540172421,40932,41231
1540173375,40916,41214
1540174343,40901,41200
1540175313,40890,41189
1540176255,40882,41181
1540177238,40894,41194
1540178178,40886,41186
1540179146,40859,41159
1540180109,40864,41164
1540181078,40866,41166
1540182016,40870,41170
1540182985,40876,41177
1540183935,40896,41197
1540184900,40894,41195
1540185868,40924,41225
1540186814,40921,41222
1540187777,40941,41242
1540188740,40926,41228
1540189695,40922,41224
1540190656,40911,41213
1540191621,40910,41212
1540192589,40905,41207
1540193543,40912,41214
1540194493,40893,41195
1540195479,40894,41193
1540196421,40900,41199
1540197374,40911,41210
1540198341,40905,41204
1540199820,40887,41185
1540200741,40877,41175
1540201697,40870,41169
1540202785,40867,41165
